wind_speed_kmph,humidity_pct,payload_mass_kg,vehicle_type_index,countdown_hold_min
79.5,57.2,35157.8,2,28.04
62.0,78.2,31704.9,2,68.11
44.2,76.5,36772.9,3,61.64
54.7,61.7,28019.7,3,66.12
53.2,72.6,30899.4,4,84.74
34.0,74.7,38082.9,2,23.1
68.9,55.4,12794.4,3,84.52
40.9,82.7,39054.9,2,65.75
53.9,54.1,13516.6,3,67.12
72.6,76.3,10636.2,3,85.82
20.5,51.7,33135.9,3,32.51
25.8,31.4,17756.5,3,23.96
53.8,31.6,24009.0,2,44.34
21.6,39.6,19759.3,4,50.5
79.0,47.3,32990.7,1,40.23
44.3,77.5,28659.7,2,71.84
73.1,73.4,13141.4,3,109.26
41.4,62.4,25071.5,1,29.21
35.4,60.9,27434.8,2,39.7
55.0,58.7,35372.7,3,48.73
