wind_speed_kmph,humidity_pct,payload_mass_kg,vehicle_type_index,countdown_hold_min
4.1,71.7,14618.5,4,68.88
32.2,70.7,9304.9,4,87.62
27.1,64.8,15430.0,1,61.92
10.5,65.7,4283.8,2,63.15
19.1,40.8,3829.2,3,65.21
16.5,59.7,4997.5,4,80.55
17.7,49.1,6451.5,1,42.19
11.3,65.2,13788.8,4,60.64
10.8,89.8,2485.9,4,99.32
8.4,80.6,15726.3,4,95.8
36.9,67.6,19776.5,3,65.39
20.3,44.4,13888.0,4,75.14
5.2,79.7,5731.4,4,91.65
17.0,61.6,12054.7,1,29.88
26.3,80.1,19182.7,2,67.68
16.3,62.8,12055.3,4,69.88
3.1,52.4,9011.2,3,64.35
3.7,82.7,15276.2,1,55.98
0.3,58.1,16363.6,3,61.26
21.2,42.0,5422.0,1,27.39
31.6,56.1,1197.3,1,44.65
18.0,78.8,13037.6,1,51.15
32.6,47.1,6946.6,2,52.72
21.9,73.0,8042.8,3,82.43
13.0,40.7,10474.7,2,27.15
